request_id,city,service_type,channel,opened_date,closed_date,status,priority,resolution_hours,satisfaction_score,repeat_contact,feedback
REQ-0424,Aarhus,Housing Advice,Digital,2026-04-19,,Open,Low,32.5,3.8,No,The issue was resolved quickly.
REQ-0425,Copenhagen,Waste Collection,Phone,2026-04-26,2026-04-27,Closed,Normal,23.9,3.6,No,The guidance was clear and helpful.
REQ-0426,Aalborg,Waste Collection,In Person,2026-04-06,2026-04-07,Closed,High,32.1,3.6,No,The wait was not long.
REQ-0427,Odense,Waste Collection,Digital,2026-04-13,2026-04-13,Closed,Low,12.1,5.0,No,The form was difficult but staff were helpful.
REQ-0428,Aarhus,Waste Collection,In Person,2026-04-20,2026-04-21,Closed,Normal,29.0,3.4,No,Quick response and clear information.
REQ-0429,Copenhagen,Citizen ID,Digital,2026-04-27,2026-04-27,Closed,High,5.2,4.5,No,I could not understand the online instructions.
REQ-0430,Aalborg,Citizen ID,Phone,2026-04-07,2026-04-08,Closed,Low,34.8,3.4,No,Friendly service but the process was slow.
REQ-0431,Odense,Citizen ID,In Person,2026-04-14,2026-04-15,Closed,Normal,41.8,3.0,No,No problem after the staff explained the next step.
REQ-0432,Aarhus,Citizen ID,Digital,2026-04-21,2026-04-22,Closed,High,35.5,2.8,Yes,The issue was resolved quickly.
REQ-0433,Copenhagen,Parking,Phone,2026-04-01,,Open,Low,24.2,4.3,Yes,The guidance was clear and helpful.
REQ-0434,Aalborg,Parking,In Person,2026-04-08,2026-04-09,Closed,Normal,43.4,2.8,Yes,The wait was not long.
REQ-0435,Odense,Parking,Phone,2026-04-15,2026-04-16,Closed,High,37.9,2.4,No,The form was difficult but staff were helpful.
REQ-0436,Aarhus,Parking,In Person,2026-04-22,2026-04-22,Closed,Low,15.0,4.6,No,Quick response and clear information.
REQ-0437,Copenhagen,Family Support,Digital,2026-04-02,2026-04-03,Closed,Normal,25.6,3.6,No,I could not understand the online instructions.
REQ-0438,Aalborg,Family Support,Phone,2026-04-09,2026-04-10,Closed,High,34.6,2.8,Yes,Friendly service but the process was slow.
REQ-0439,Odense,Family Support,In Person,2026-04-16,2026-04-16,Closed,Low,13.8,4.3,Yes,No problem after the staff explained the next step.
REQ-0440,Aarhus,Family Support,Digital,2026-04-23,2026-04-23,Closed,Normal,6.8,4.0,No,The issue was resolved quickly.
REQ-0441,Copenhagen,Housing Advice,Phone,2026-05-03,2026-05-03,Closed,High,15.9,4.1,Yes,The guidance was clear and helpful.
REQ-0442,Aalborg,Housing Advice,Digital,2026-05-10,,Open,Low,13.2,3.8,No,The wait was not long.
REQ-0443,Odense,Housing Advice,Phone,2026-05-17,2026-05-18,Closed,Normal,24.6,4.4,Yes,The form was difficult but staff were helpful.
REQ-0444,Aarhus,Housing Advice,In Person,2026-05-24,2026-05-24,Closed,High,20.2,3.3,No,Quick response and clear information.
REQ-0445,Copenhagen,Waste Collection,Digital,2026-05-04,2026-05-04,Closed,Low,1.0,5.0,No,I could not understand the online instructions.
REQ-0446,Aalborg,Waste Collection,Phone,2026-05-11,2026-05-12,Closed,Normal,24.6,3.6,No,Friendly service but the process was slow.
REQ-0447,Odense,Waste Collection,In Person,2026-05-18,2026-05-19,Closed,High,42.2,3.0,Yes,No problem after the staff explained the next step.
REQ-0448,Aarhus,Waste Collection,Digital,2026-05-25,2026-05-25,Closed,Low,8.6,4.8,No,The issue was resolved quickly.
REQ-0449,Copenhagen,Citizen ID,In Person,2026-05-05,2026-05-05,Closed,Normal,18.3,3.7,Yes,The guidance was clear and helpful.
REQ-0450,Aalborg,Citizen ID,Digital,2026-05-12,2026-05-12,Closed,High,10.4,3.8,No,The wait was not long.
REQ-0451,Odense,Citizen ID,Phone,2026-05-19,,Open,Low,14.7,4.5,No,The form was difficult but staff were helpful.
REQ-0452,Aarhus,Citizen ID,In Person,2026-05-26,2026-05-28,Closed,Normal,47.9,2.9,No,Quick response and clear information.
REQ-0453,Copenhagen,Parking,Digital,2026-05-06,2026-05-06,Closed,High,21.2,4.1,No,I could not understand the online instructions.
REQ-0454,Aalborg,Parking,Phone,2026-05-13,2026-05-14,Closed,Low,30.1,3.8,Yes,Friendly service but the process was slow.
REQ-0455,Odense,Parking,In Person,2026-05-20,2026-05-21,Closed,Normal,36.5,4.1,No,No problem after the staff explained the next step.
REQ-0456,Aarhus,Parking,Phone,2026-05-27,2026-05-28,Closed,High,29.0,3.1,No,The issue was resolved quickly.
REQ-0457,Copenhagen,Family Support,In Person,2026-05-07,2026-05-08,Closed,Low,26.3,3.9,Yes,The guidance was clear and helpful.
REQ-0458,Aalborg,Family Support,Digital,2026-05-14,2026-05-14,Closed,Normal,22.0,4.6,No,The wait was not long.
REQ-0459,Odense,Family Support,Phone,2026-05-21,2026-05-22,Closed,High,38.0,2.7,No,The form was difficult but staff were helpful.
REQ-0460,Aarhus,Family Support,In Person,2026-05-01,,Open,Low,28.1,3.2,No,Quick response and clear information.
REQ-0461,Copenhagen,Housing Advice,Digital,2026-06-08,2026-06-09,Closed,Normal,23.7,3.5,No,I could not understand the online instructions.
REQ-0462,Aalborg,Housing Advice,Phone,2026-06-15,2026-06-16,Closed,High,34.8,3.3,No,Friendly service but the process was slow.
REQ-0463,Odense,Housing Advice,Digital,2026-06-22,2026-06-23,Closed,Low,29.6,4.0,Yes,No problem after the staff explained the next step.
REQ-0464,Aarhus,Housing Advice,Phone,2026-06-02,2026-06-03,Closed,Normal,36.7,3.3,No,The issue was resolved quickly.
REQ-0465,Copenhagen,Waste Collection,In Person,2026-06-09,2026-06-10,Closed,High,31.7,2.4,Yes,The guidance was clear and helpful.
REQ-0466,Aalborg,Waste Collection,Digital,2026-06-16,2026-06-16,Closed,Low,18.3,4.9,No,The wait was not long.
REQ-0467,Odense,Waste Collection,Phone,2026-06-23,2026-06-24,Closed,Normal,28.8,3.8,No,The form was difficult but staff were helpful.
REQ-0468,Aarhus,Waste Collection,In Person,2026-06-03,2026-06-04,Closed,High,37.7,2.5,Yes,Quick response and clear information.
REQ-0469,Copenhagen,Citizen ID,Digital,2026-06-10,,Open,Low,15.8,4.1,No,I could not understand the online instructions.
REQ-0470,Aalborg,Citizen ID,In Person,2026-06-17,2026-06-18,Closed,Normal,32.3,3.0,No,Friendly service but the process was slow.
REQ-0471,Odense,Citizen ID,Digital,2026-06-24,2026-06-25,Closed,High,32.2,2.4,No,No problem after the staff explained the next step.
REQ-0472,Aarhus,Citizen ID,Phone,2026-06-04,2026-06-05,Closed,Low,28.2,3.1,No,The issue was resolved quickly.
REQ-0473,Copenhagen,Parking,In Person,2026-06-11,2026-06-11,Closed,Normal,12.0,4.0,No,The guidance was clear and helpful.
REQ-0474,Aalborg,Parking,Digital,2026-06-18,2026-06-19,Closed,High,28.2,2.9,No,The wait was not long.
REQ-0475,Odense,Parking,Phone,2026-06-25,2026-06-26,Closed,Low,31.7,3.2,No,The form was difficult but staff were helpful.
REQ-0476,Aarhus,Parking,In Person,2026-06-05,2026-06-06,Closed,Normal,36.6,2.2,No,Quick response and clear information.
REQ-0477,Copenhagen,Family Support,Phone,2026-06-12,2026-06-12,Closed,High,7.7,3.7,No,I could not understand the online instructions.
REQ-0478,Aalborg,Family Support,In Person,2026-06-19,,Open,Low,26.4,3.3,Yes,Friendly service but the process was slow.
REQ-0479,Odense,Family Support,Digital,2026-06-26,2026-06-26,Closed,Normal,1.0,5.0,No,No problem after the staff explained the next step.
REQ-0480,Aarhus,Family Support,Phone,2026-06-06,2026-06-07,Closed,High,36.4,3.0,No,The issue was resolved quickly.
REQ-0481,Copenhagen,Housing Advice,In Person,2026-01-13,2026-01-13,Closed,Low,21.3,4.1,No,The guidance was clear and helpful.
REQ-0482,Aalborg,Housing Advice,Digital,2026-01-20,2026-01-20,Closed,Normal,18.7,2.9,No,The wait was not long.
REQ-0483,Odense,Housing Advice,Phone,2026-01-27,2026-01-28,Closed,High,35.8,3.3,Yes,The form was difficult but staff were helpful.
REQ-0484,Aarhus,Housing Advice,Digital,2026-01-07,2026-01-07,Closed,Low,20.3,3.3,Yes,Quick response and clear information.
REQ-0485,Copenhagen,Waste Collection,Phone,2026-01-14,2026-01-15,Closed,Normal,33.8,3.2,No,I could not understand the online instructions.
REQ-0486,Aalborg,Waste Collection,In Person,2026-01-21,2026-01-22,Closed,High,36.6,2.4,Yes,Friendly service but the process was slow.
REQ-0487,Odense,Waste Collection,Digital,2026-01-01,,Open,Low,10.3,3.7,No,No problem after the staff explained the next step.
REQ-0488,Aarhus,Waste Collection,Phone,2026-01-08,2026-01-09,Closed,Normal,42.1,2.0,Yes,The issue was resolved quickly.
REQ-0489,Copenhagen,Citizen ID,In Person,2026-01-15,2026-01-16,Closed,High,27.1,2.5,Yes,The guidance was clear and helpful.
REQ-0490,Aalborg,Citizen ID,Digital,2026-01-22,2026-01-22,Closed,Low,18.0,4.3,No,The wait was not long.
REQ-0491,Odense,Citizen ID,In Person,2026-01-02,2026-01-03,Closed,Normal,30.9,3.1,No,The form was difficult but staff were helpful.
REQ-0492,Aarhus,Citizen ID,Digital,2026-01-09,2026-01-10,Closed,High,25.5,3.5,No,Quick response and clear information.
REQ-0493,Copenhagen,Parking,Phone,2026-01-16,2026-01-16,Closed,Low,13.2,4.7,No,I could not understand the online instructions.
REQ-0494,Aalborg,Parking,In Person,2026-01-23,2026-01-24,Closed,Normal,31.2,3.1,Yes,Friendly service but the process was slow.
REQ-0495,Odense,Parking,Digital,2026-01-03,2026-01-03,Closed,High,17.8,4.2,Yes,No problem after the staff explained the next step.
REQ-0496,Aarhus,Parking,Phone,2026-01-10,,Open,Low,28.0,3.0,No,The issue was resolved quickly.
REQ-0497,Copenhagen,Family Support,In Person,2026-01-17,2026-01-18,Closed,Normal,42.3,2.4,Yes,The guidance was clear and helpful.
REQ-0498,Aalborg,Family Support,Phone,2026-01-24,2026-01-25,Closed,High,23.6,3.3,No,The wait was not long.
REQ-0499,Odense,Family Support,In Person,2026-01-04,2026-01-05,Closed,Low,35.8,2.7,No,The form was difficult but staff were helpful.
REQ-0500,Aarhus,Family Support,Digital,2026-01-11,2026-01-11,Closed,Normal,21.9,3.6,Yes,Quick response and clear information.
REQ-0501,Copenhagen,Housing Advice,Phone,2026-02-18,2026-02-18,Closed,High,11.6,5.0,No,I could not understand the online instructions.
REQ-0502,Aalborg,Housing Advice,In Person,2026-02-25,2026-02-26,Closed,Low,25.4,4.0,No,Friendly service but the process was slow.
REQ-0503,Odense,Housing Advice,Digital,2026-02-05,2026-02-05,Closed,Normal,23.3,4.3,No,No problem after the staff explained the next step.
REQ-0504,Aarhus,Housing Advice,Phone,2026-02-12,2026-02-13,Closed,High,40.1,2.7,No,The issue was resolved quickly.
REQ-0505,Copenhagen,Waste Collection,Digital,2026-02-19,,Open,Low,16.2,3.4,No,The guidance was clear and helpful.
REQ-0506,Aalborg,Waste Collection,Phone,2026-02-26,2026-02-27,Closed,Normal,37.7,3.6,Yes,The wait was not long.
REQ-0507,Odense,Waste Collection,In Person,2026-02-06,2026-02-07,Closed,High,35.9,3.6,Yes,The form was difficult but staff were helpful.
REQ-0508,Aarhus,Waste Collection,Digital,2026-02-13,2026-02-13,Closed,Low,11.3,4.2,No,Quick response and clear information.
REQ-0509,Copenhagen,Citizen ID,Phone,2026-02-20,2026-02-21,Closed,Normal,38.0,2.4,No,I could not understand the online instructions.
REQ-0510,Aalborg,Citizen ID,In Person,2026-02-27,2026-02-28,Closed,High,42.2,3.0,No,Friendly service but the process was slow.
REQ-0511,Odense,Citizen ID,Digital,2026-02-07,2026-02-08,Closed,Low,26.8,4.5,No,No problem after the staff explained the next step.
REQ-0512,Aarhus,Citizen ID,In Person,2026-02-14,2026-02-15,Closed,Normal,40.3,3.1,Yes,The issue was resolved quickly.
REQ-0513,Copenhagen,Parking,Digital,2026-02-21,2026-02-21,Closed,High,21.0,4.7,No,The guidance was clear and helpful.
REQ-0514,Aalborg,Parking,Phone,2026-02-01,,Open,Low,17.8,4.1,No,The wait was not long.
REQ-0515,Odense,Parking,In Person,2026-02-08,2026-02-09,Closed,Normal,32.2,3.6,No,The form was difficult but staff were helpful.
REQ-0516,Aarhus,Parking,Digital,2026-02-15,2026-02-15,Closed,High,19.4,3.9,Yes,Quick response and clear information.
REQ-0517,Copenhagen,Family Support,Phone,2026-02-22,2026-02-22,Closed,Low,18.4,4.6,No,I could not understand the online instructions.
REQ-0518,Aalborg,Family Support,In Person,2026-02-02,2026-02-03,Closed,Normal,29.7,4.3,No,Friendly service but the process was slow.
REQ-0519,Odense,Family Support,Phone,2026-02-09,2026-02-10,Closed,High,31.7,3.6,No,No problem after the staff explained the next step.
REQ-0520,Aarhus,Family Support,In Person,2026-02-16,2026-02-17,Closed,Low,36.9,3.3,Yes,The issue was resolved quickly.
REQ-0521,Copenhagen,Housing Advice,Digital,2026-03-23,2026-03-23,Closed,Normal,2.4,5.0,No,The guidance was clear and helpful.
REQ-0522,Aalborg,Housing Advice,Phone,2026-03-03,2026-03-04,Closed,High,25.7,3.8,No,The wait was not long.
REQ-0523,Odense,Housing Advice,In Person,2026-03-10,,Open,Low,24.6,2.7,No,The form was difficult but staff were helpful.
REQ-0524,Aarhus,Housing Advice,Digital,2026-03-17,2026-03-18,Closed,Normal,36.3,3.0,No,Quick response and clear information.
REQ-0525,Copenhagen,Waste Collection,Phone,2026-03-24,2026-03-25,Closed,High,30.3,3.1,Yes,I could not understand the online instructions.
REQ-0526,Aalborg,Waste Collection,Digital,2026-03-04,2026-03-04,Closed,Low,12.4,5.0,No,Friendly service but the process was slow.
REQ-0527,Odense,Waste Collection,Phone,2026-03-11,2026-03-11,Closed,Normal,21.2,4.7,No,No problem after the staff explained the next step.
REQ-0528,Aarhus,Waste Collection,In Person,2026-03-18,2026-03-19,Closed,High,29.5,3.9,Yes,The issue was resolved quickly.
REQ-0529,Copenhagen,Citizen ID,Digital,2026-03-25,2026-03-25,Closed,Low,1.0,4.9,No,The guidance was clear and helpful.
REQ-0530,Aalborg,Citizen ID,Phone,2026-03-05,2026-03-06,Closed,Normal,30.9,3.1,No,The wait was not long.
REQ-0531,Odense,Citizen ID,In Person,2026-03-12,2026-03-13,Closed,High,39.8,3.2,No,The form was difficult but staff were helpful.
REQ-0532,Aarhus,Citizen ID,Digital,2026-03-19,,Open,Low,26.3,4.2,No,Quick response and clear information.
REQ-0533,Copenhagen,Parking,In Person,2026-03-26,2026-03-26,Closed,Normal,21.5,4.0,No,I could not understand the online instructions.
REQ-0534,Aalborg,Parking,Digital,2026-03-06,2026-03-07,Closed,High,36.6,3.2,Yes,Friendly service but the process was slow.
REQ-0535,Odense,Parking,Phone,2026-03-13,2026-03-13,Closed,Low,1.8,4.9,No,No problem after the staff explained the next step.
REQ-0536,Aarhus,Parking,In Person,2026-03-20,2026-03-21,Closed,Normal,36.4,3.0,Yes,The issue was resolved quickly.
REQ-0537,Copenhagen,Family Support,Digital,2026-03-27,2026-03-27,Closed,High,14.8,3.6,No,The guidance was clear and helpful.
REQ-0538,Aalborg,Family Support,Phone,2026-03-07,2026-03-08,Closed,Low,27.2,3.9,No,The wait was not long.
REQ-0539,Odense,Family Support,In Person,2026-03-14,2026-03-15,Closed,Normal,41.7,2.9,No,The form was difficult but staff were helpful.
REQ-0540,Aarhus,Family Support,Phone,2026-03-21,2026-03-22,Closed,High,38.0,3.7,No,Quick response and clear information.
REQ-0541,Copenhagen,Housing Advice,In Person,2026-04-01,,Open,Low,39.1,2.4,Yes,I could not understand the online instructions.
REQ-0542,Aalborg,Housing Advice,Digital,2026-04-08,2026-04-08,Closed,Normal,11.4,4.2,No,Friendly service but the process was slow.
REQ-0543,Odense,Housing Advice,Phone,2026-04-15,2026-04-15,Closed,High,22.2,3.8,No,No problem after the staff explained the next step.
REQ-0544,Aarhus,Housing Advice,In Person,2026-04-22,2026-04-23,Closed,Low,40.4,3.2,No,The issue was resolved quickly.
REQ-0545,Copenhagen,Waste Collection,Digital,2026-04-02,2026-04-02,Closed,Normal,19.4,4.2,No,The guidance was clear and helpful.
REQ-0546,Aalborg,Waste Collection,Phone,2026-04-09,2026-04-10,Closed,High,33.5,3.1,No,The wait was not long.
REQ-0547,Odense,Waste Collection,Digital,2026-04-16,2026-04-17,Closed,Low,24.2,3.9,No,The form was difficult but staff were helpful.
REQ-0548,Aarhus,Waste Collection,Phone,2026-04-23,2026-04-23,Closed,Normal,20.9,3.9,No,Quick response and clear information.
REQ-0549,Copenhagen,Citizen ID,In Person,2026-04-03,2026-04-04,Closed,High,41.2,2.2,No,I could not understand the online instructions.
REQ-0550,Aalborg,Citizen ID,Digital,2026-04-10,,Open,Low,10.7,4.4,Yes,Friendly service but the process was slow.
REQ-0551,Odense,Citizen ID,Phone,2026-04-17,2026-04-18,Closed,Normal,27.3,3.4,No,No problem after the staff explained the next step.
REQ-0552,Aarhus,Citizen ID,In Person,2026-04-24,2026-04-25,Closed,High,35.3,4.0,No,The issue was resolved quickly.
REQ-0553,Copenhagen,Parking,Digital,2026-04-04,2026-04-05,Closed,Low,25.2,3.9,No,The guidance was clear and helpful.
REQ-0554,Aalborg,Parking,In Person,2026-04-11,2026-04-12,Closed,Normal,30.4,3.5,No,The wait was not long.
REQ-0555,Odense,Parking,Digital,2026-04-18,2026-04-18,Closed,High,16.7,3.8,No,The form was difficult but staff were helpful.
REQ-0556,Aarhus,Parking,Phone,2026-04-25,2026-04-26,Closed,Low,39.3,3.0,Yes,Quick response and clear information.
REQ-0004,Aarhus,Housing Advice,Digital,2026-01-22,2026-01-23,Closed,Low,34.9,2.4,Yes,Quick response and clear information.
REQ-0076,Aarhus,Parking,Phone,2026-04-13,2026-04-13,Closed,Low,21.0,4.3,Yes,Quick response and clear information.
REQ-0202,Aalborg,Housing Advice,Phone,2026-05-04,2026-05-04,Closed,Low,8.7,4.3,No,The wait was not long.
REQ-0421,Copenhagen,Housing Advice,Digital,2026-04-25,2026-04-26,Closed,Low,28.2,2.4,Yes,I could not understand the online instructions.
